,mean_test_score,param_fs__k,param_fs__score_func,param_svr__C,param_svr__kernel
12,-3.1013999485504855,2,<function mutual_info_regression at 0x000002C1AEA9FC40>,1,rbf
128,-3.10443249040177,11,<function f_regression at 0x000002C1AEAC9DA0>,1,linear
42,-3.12064990690807,4,<function f_regression at 0x000002C1AEAC9DA0>,1,rbf
54,-3.1558379937953154,5,<function f_regression at 0x000002C1AEAC9DA0>,1,rbf
38,-3.1564135720679483,4,<function mutual_info_regression at 0x000002C1AEA9FC40>,1,linear
3,-3.1701869715459066,1,<function mutual_info_regression at 0x000002C1AEA9FC40>,10,rbf
18,-3.190101076087015,2,<function f_regression at 0x000002C1AEAC9DA0>,1,rbf
68,-3.1986312253084934,6,<function f_regression at 0x000002C1AEAC9DA0>,1,linear
90,-3.207512213845149,8,<function f_regression at 0x000002C1AEAC9DA0>,1,rbf
84,-3.227723051799979,8,<function mutual_info_regression at 0x000002C1AEA9FC40>,1,rbf
17,-3.2284484063179955,2,<function mutual_info_regression at 0x000002C1AEA9FC40>,10,linear
0,-3.2343845360804786,1,<function mutual_info_regression at 0x000002C1AEA9FC40>,1,rbf
102,-3.2935086123654167,9,<function f_regression at 0x000002C1AEAC9DA0>,1,rbf
96,-3.3097256161595907,9,<function mutual_info_regression at 0x000002C1AEA9FC40>,1,rbf
1,-3.329193007172589,1,<function mutual_info_regression at 0x000002C1AEA9FC40>,1,poly
4,-3.3292061742383487,1,<function mutual_info_regression at 0x000002C1AEA9FC40>,10,poly
26,-3.3899969104819405,3,<function mutual_info_regression at 0x000002C1AEA9FC40>,1,linear
56,-3.4270212874700547,5,<function f_regression at 0x000002C1AEAC9DA0>,1,linear
114,-3.4479530304154635,10,<function f_regression at 0x000002C1AEAC9DA0>,1,rbf
108,-3.455047782148688,10,<function mutual_info_regression at 0x000002C1AEA9FC40>,1,rbf
19,-3.458034591103975,2,<function f_regression at 0x000002C1AEAC9DA0>,1,poly
14,-3.489009514547323,2,<function mutual_info_regression at 0x000002C1AEA9FC40>,1,linear
120,-3.532031039661626,11,<function mutual_info_regression at 0x000002C1AEA9FC40>,1,rbf
126,-3.5379963586361365,11,<function f_regression at 0x000002C1AEAC9DA0>,1,rbf
2,-3.5892732836900136,1,<function mutual_info_regression at 0x000002C1AEA9FC40>,1,linear
138,-3.605611472184054,12,<function f_regression at 0x000002C1AEAC9DA0>,1,rbf
132,-3.605611472184054,12,<function mutual_info_regression at 0x000002C1AEA9FC40>,1,rbf
5,-3.62182207763392,1,<function mutual_info_regression at 0x000002C1AEA9FC40>,10,linear
6,-3.661972914726377,1,<function f_regression at 0x000002C1AEAC9DA0>,1,rbf
22,-3.6905193902542726,2,<function f_regression at 0x000002C1AEAC9DA0>,10,poly
7,-3.852997678065215,1,<function f_regression at 0x000002C1AEAC9DA0>,1,poly
10,-3.853621165342291,1,<function f_regression at 0x000002C1AEAC9DA0>,10,poly
44,-3.963798572443923,4,<function f_regression at 0x000002C1AEAC9DA0>,1,linear
32,-4.007690841936414,3,<function f_regression at 0x000002C1AEAC9DA0>,1,linear
20,-4.102739473297445,2,<function f_regression at 0x000002C1AEAC9DA0>,1,linear
8,-4.215782489741054,1,<function f_regression at 0x000002C1AEAC9DA0>,1,linear
