,mean_test_score,param_fs__k,param_rfr__criterion,param_rfr__n_estimators,param_fs__score_func
174,-1.5950155333333336,11,poisson,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
152,-1.595339,10,squared_error,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
104,-1.5955342666666672,7,squared_error,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
158,-1.5981082666666666,10,poisson,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
65,-1.5995864666666673,5,squared_error,100,<function f_regression at 0x000002C1AEAC9DA0>
130,-1.6006439000000003,9,friedman_mse,50,<function f_regression at 0x000002C1AEAC9DA0>
98,-1.6022631333333337,7,friedman_mse,50,<function f_regression at 0x000002C1AEAC9DA0>
64,-1.6023279666666668,5,squared_error,50,<function f_regression at 0x000002C1AEAC9DA0>
138,-1.604435233333334,9,friedman_mse,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
82,-1.6050179,6,friedman_mse,50,<function f_regression at 0x000002C1AEAC9DA0>
168,-1.6060142666666664,11,squared_error,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
154,-1.6091265333333329,10,friedman_mse,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
122,-1.6100615,8,friedman_mse,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
106,-1.6174966000000004,7,friedman_mse,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
166,-1.6213476333333339,11,poisson,50,<function f_regression at 0x000002C1AEAC9DA0>
66,-1.6263354333333335,5,friedman_mse,50,<function f_regression at 0x000002C1AEAC9DA0>
186,-1.6299889333333333,12,friedman_mse,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
178,-1.6299889333333333,12,friedman_mse,50,<function f_regression at 0x000002C1AEAC9DA0>
70,-1.6303446333333333,5,poisson,50,<function f_regression at 0x000002C1AEAC9DA0>
170,-1.6317884333333335,11,friedman_mse,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
160,-1.6322399666666665,11,squared_error,50,<function f_regression at 0x000002C1AEAC9DA0>
162,-1.6455688666666668,11,friedman_mse,50,<function f_regression at 0x000002C1AEAC9DA0>
53,-1.6642057416666673,4,absolute_error,100,<function f_regression at 0x000002C1AEAC9DA0>
55,-1.6923066500000004,4,poisson,100,<function f_regression at 0x000002C1AEAC9DA0>
54,-1.6955671666666672,4,poisson,50,<function f_regression at 0x000002C1AEAC9DA0>
51,-1.709832916666667,4,friedman_mse,100,<function f_regression at 0x000002C1AEAC9DA0>
49,-1.7101252500000004,4,squared_error,100,<function f_regression at 0x000002C1AEAC9DA0>
52,-1.7138785499999998,4,absolute_error,50,<function f_regression at 0x000002C1AEAC9DA0>
44,-1.72403905,3,absolute_error,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
48,-1.7297840999999998,4,squared_error,50,<function f_regression at 0x000002C1AEAC9DA0>
50,-1.7375168666666667,4,friedman_mse,50,<function f_regression at 0x000002C1AEAC9DA0>
37,-1.7553831499999994,3,absolute_error,100,<function f_regression at 0x000002C1AEAC9DA0>
33,-1.7588178999999997,3,squared_error,100,<function f_regression at 0x000002C1AEAC9DA0>
32,-1.7588180000000009,3,squared_error,50,<function f_regression at 0x000002C1AEAC9DA0>
34,-1.7599654666666673,3,friedman_mse,50,<function f_regression at 0x000002C1AEAC9DA0>
35,-1.7619006666666668,3,friedman_mse,100,<function f_regression at 0x000002C1AEAC9DA0>
39,-1.766205016666666,3,poisson,100,<function f_regression at 0x000002C1AEAC9DA0>
38,-1.7880107666666665,3,poisson,50,<function f_regression at 0x000002C1AEAC9DA0>
36,-1.8008515000000003,3,absolute_error,50,<function f_regression at 0x000002C1AEAC9DA0>
45,-1.8034558749999992,3,absolute_error,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
47,-1.8093772833333333,3,poisson,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
46,-1.8298727333333336,3,poisson,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
40,-1.878079533333333,3,squared_error,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
41,-1.8970945833333317,3,squared_error,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
42,-1.8986979333333334,3,friedman_mse,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
43,-1.925586349999999,3,friedman_mse,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
21,-1.9309613833333337,2,absolute_error,100,<function f_regression at 0x000002C1AEAC9DA0>
20,-1.9816868999999997,2,absolute_error,50,<function f_regression at 0x000002C1AEAC9DA0>
23,-2.002667016666667,2,poisson,100,<function f_regression at 0x000002C1AEAC9DA0>
19,-2.007595316666668,2,friedman_mse,100,<function f_regression at 0x000002C1AEAC9DA0>
17,-2.0149870500000007,2,squared_error,100,<function f_regression at 0x000002C1AEAC9DA0>
27,-2.015518522222223,2,friedman_mse,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
18,-2.061491433333333,2,friedman_mse,50,<function f_regression at 0x000002C1AEAC9DA0>
16,-2.074267399999999,2,squared_error,50,<function f_regression at 0x000002C1AEAC9DA0>
22,-2.0784444666666655,2,poisson,50,<function f_regression at 0x000002C1AEAC9DA0>
29,-2.211044425,2,absolute_error,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
25,-2.310904595238096,2,squared_error,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
31,-2.346945656349206,2,poisson,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
26,-2.3491229349206346,2,friedman_mse,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
30,-2.3922910682539684,2,poisson,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
28,-2.4067185166666674,2,absolute_error,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
24,-2.4458846682539686,2,squared_error,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
5,-2.632622333333334,1,absolute_error,100,<function f_regression at 0x000002C1AEAC9DA0>
4,-2.649196866666666,1,absolute_error,50,<function f_regression at 0x000002C1AEAC9DA0>
7,-2.6514334000000006,1,poisson,100,<function f_regression at 0x000002C1AEAC9DA0>
3,-2.6514334000000006,1,friedman_mse,100,<function f_regression at 0x000002C1AEAC9DA0>
1,-2.6514334000000006,1,squared_error,100,<function f_regression at 0x000002C1AEAC9DA0>
2,-2.6689462333333327,1,friedman_mse,50,<function f_regression at 0x000002C1AEAC9DA0>
6,-2.6689462333333327,1,poisson,50,<function f_regression at 0x000002C1AEAC9DA0>
0,-2.6689462333333327,1,squared_error,50,<function f_regression at 0x000002C1AEAC9DA0>
12,-2.709612050000001,1,absolute_error,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
13,-2.8730738583333335,1,absolute_error,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
8,-2.8807643021356424,1,squared_error,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
10,-2.8807643021356424,1,friedman_mse,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
14,-2.8807643021356424,1,poisson,50,<function mutual_info_regression at 0x000002C1AEA9FC40>
9,-2.8847536820640927,1,squared_error,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
11,-2.8847536820640927,1,friedman_mse,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
15,-2.8847536820640927,1,poisson,100,<function mutual_info_regression at 0x000002C1AEA9FC40>
