,mean_test_score,param_fs__k,param_rfr__criterion,param_rfr__n_estimators,param_fs__score_func
109,-0.20568858333333323,7,absolute_error,100,<function mutual_info_regression at 0x000001E067DC34C0>
125,-0.20619868333333327,8,absolute_error,100,<function mutual_info_regression at 0x000001E067DC34C0>
38,-0.20705289999999996,3,poisson,50,<function f_regression at 0x000001E067DE9620>
92,-0.20721306666666658,6,absolute_error,50,<function mutual_info_regression at 0x000001E067DC34C0>
172,-0.20734119999999995,11,absolute_error,50,<function mutual_info_regression at 0x000001E067DC34C0>
34,-0.20790093333333326,3,friedman_mse,50,<function f_regression at 0x000001E067DE9620>
17,-0.20809934999999982,2,squared_error,100,<function f_regression at 0x000001E067DE9620>
149,-0.20828120833333325,10,absolute_error,100,<function f_regression at 0x000001E067DE9620>
39,-0.20866353333333318,3,poisson,100,<function f_regression at 0x000001E067DE9620>
156,-0.20889536666666655,10,absolute_error,50,<function mutual_info_regression at 0x000001E067DC34C0>
19,-0.20899291666666647,2,friedman_mse,100,<function f_regression at 0x000001E067DE9620>
32,-0.20941393333333327,3,squared_error,50,<function f_regression at 0x000001E067DE9620>
22,-0.20963146666666654,2,poisson,50,<function f_regression at 0x000001E067DE9620>
165,-0.21041896666666662,11,absolute_error,100,<function f_regression at 0x000001E067DE9620>
52,-0.21060191666666653,4,absolute_error,50,<function f_regression at 0x000001E067DE9620>
173,-0.21072678333333328,11,absolute_error,100,<function mutual_info_regression at 0x000001E067DC34C0>
157,-0.21157328333333325,10,absolute_error,100,<function mutual_info_regression at 0x000001E067DC34C0>
16,-0.21172029999999986,2,squared_error,50,<function f_regression at 0x000001E067DE9620>
93,-0.21233394166666653,6,absolute_error,100,<function mutual_info_regression at 0x000001E067DC34C0>
141,-0.21367889166666654,9,absolute_error,100,<function mutual_info_regression at 0x000001E067DC34C0>
18,-0.21423603333333321,2,friedman_mse,50,<function f_regression at 0x000001E067DE9620>
53,-0.2146526583333332,4,absolute_error,100,<function f_regression at 0x000001E067DE9620>
33,-0.21531763333333323,3,squared_error,100,<function f_regression at 0x000001E067DE9620>
35,-0.2156006666666666,3,friedman_mse,100,<function f_regression at 0x000001E067DE9620>
76,-0.22347473333333326,5,absolute_error,50,<function mutual_info_regression at 0x000001E067DC34C0>
77,-0.22387518333333317,5,absolute_error,100,<function mutual_info_regression at 0x000001E067DC34C0>
37,-0.22456621666666657,3,absolute_error,100,<function f_regression at 0x000001E067DE9620>
36,-0.22493019999999997,3,absolute_error,50,<function f_regression at 0x000001E067DE9620>
5,-0.22737686666666654,1,absolute_error,100,<function f_regression at 0x000001E067DE9620>
3,-0.22956689999999988,1,friedman_mse,100,<function f_regression at 0x000001E067DE9620>
1,-0.22956689999999988,1,squared_error,100,<function f_regression at 0x000001E067DE9620>
7,-0.22956689999999988,1,poisson,100,<function f_regression at 0x000001E067DE9620>
4,-0.23484713333333315,1,absolute_error,50,<function f_regression at 0x000001E067DE9620>
0,-0.23595606666666652,1,squared_error,50,<function f_regression at 0x000001E067DE9620>
2,-0.23595606666666652,1,friedman_mse,50,<function f_regression at 0x000001E067DE9620>
6,-0.23595606666666652,1,poisson,50,<function f_regression at 0x000001E067DE9620>
56,-0.25521749999999993,4,squared_error,50,<function mutual_info_regression at 0x000001E067DC34C0>
58,-0.2569431999999999,4,friedman_mse,50,<function mutual_info_regression at 0x000001E067DC34C0>
62,-0.25742129999999996,4,poisson,50,<function mutual_info_regression at 0x000001E067DC34C0>
57,-0.25784799999999997,4,squared_error,100,<function mutual_info_regression at 0x000001E067DC34C0>
63,-0.2600376999999999,4,poisson,100,<function mutual_info_regression at 0x000001E067DC34C0>
59,-0.26275224999999997,4,friedman_mse,100,<function mutual_info_regression at 0x000001E067DC34C0>
26,-0.27558558833333324,2,friedman_mse,50,<function mutual_info_regression at 0x000001E067DC34C0>
25,-0.2834914642063491,2,squared_error,100,<function mutual_info_regression at 0x000001E067DC34C0>
61,-0.2868636083333332,4,absolute_error,100,<function mutual_info_regression at 0x000001E067DC34C0>
60,-0.28892363333333326,4,absolute_error,50,<function mutual_info_regression at 0x000001E067DC34C0>
31,-0.2955810004365078,2,poisson,100,<function mutual_info_regression at 0x000001E067DC34C0>
47,-0.2960878499999999,3,poisson,100,<function mutual_info_regression at 0x000001E067DC34C0>
41,-0.30354134999999993,3,squared_error,100,<function mutual_info_regression at 0x000001E067DC34C0>
43,-0.30358074999999995,3,friedman_mse,100,<function mutual_info_regression at 0x000001E067DC34C0>
40,-0.3097343333333332,3,squared_error,50,<function mutual_info_regression at 0x000001E067DC34C0>
46,-0.31468103333333325,3,poisson,50,<function mutual_info_regression at 0x000001E067DC34C0>
24,-0.3165547833333332,2,squared_error,50,<function mutual_info_regression at 0x000001E067DC34C0>
44,-0.3194126999999999,3,absolute_error,50,<function mutual_info_regression at 0x000001E067DC34C0>
45,-0.3621303333333332,3,absolute_error,100,<function mutual_info_regression at 0x000001E067DC34C0>
42,-0.36769909999999995,3,friedman_mse,50,<function mutual_info_regression at 0x000001E067DC34C0>
29,-0.36841196666666665,2,absolute_error,100,<function mutual_info_regression at 0x000001E067DC34C0>
