,mean_test_score,param_dtr__criterion,param_dtr__splitter,param_fs__k,param_fs__score_func
172,-0.15759666666666666,poisson,best,3,<function f_regression at 0x000001E067DE9620>
87,-0.15815833333333332,friedman_mse,best,8,<function mutual_info_regression at 0x000001E067DC34C0>
133,-0.15849666666666662,absolute_error,best,7,<function mutual_info_regression at 0x000001E067DC34C0>
180,-0.15929999999999997,poisson,best,7,<function f_regression at 0x000001E067DE9620>
39,-0.16005666666666665,squared_error,best,8,<function mutual_info_regression at 0x000001E067DC34C0>
93,-0.16034333333333334,friedman_mse,best,11,<function mutual_info_regression at 0x000001E067DC34C0>
189,-0.16066666666666665,poisson,best,11,<function mutual_info_regression at 0x000001E067DC34C0>
45,-0.160705,squared_error,best,11,<function mutual_info_regression at 0x000001E067DC34C0>
10,-0.16235666666666665,squared_error,random,6,<function f_regression at 0x000001E067DE9620>
43,-0.1631,squared_error,best,10,<function mutual_info_regression at 0x000001E067DC34C0>
11,-0.16326166666666664,squared_error,random,6,<function mutual_info_regression at 0x000001E067DC34C0>
104,-0.16350333333333333,absolute_error,random,5,<function f_regression at 0x000001E067DE9620>
19,-0.16449166666666665,squared_error,random,10,<function mutual_info_regression at 0x000001E067DC34C0>
88,-0.16465999999999997,friedman_mse,best,9,<function f_regression at 0x000001E067DE9620>
21,-0.16480999999999998,squared_error,random,11,<function mutual_info_regression at 0x000001E067DC34C0>
67,-0.164815,friedman_mse,random,10,<function mutual_info_regression at 0x000001E067DC34C0>
125,-0.16514833333333329,absolute_error,best,3,<function mutual_info_regression at 0x000001E067DC34C0>
78,-0.16527333333333333,friedman_mse,best,4,<function f_regression at 0x000001E067DE9620>
129,-0.16554166666666664,absolute_error,best,5,<function mutual_info_regression at 0x000001E067DC34C0>
30,-0.16574666666666665,squared_error,best,4,<function f_regression at 0x000001E067DE9620>
149,-0.16583166666666666,poisson,random,3,<function mutual_info_regression at 0x000001E067DC34C0>
91,-0.16718499999999997,friedman_mse,best,10,<function mutual_info_regression at 0x000001E067DC34C0>
58,-0.16757166666666667,friedman_mse,random,6,<function f_regression at 0x000001E067DE9620>
159,-0.16905333333333333,poisson,random,8,<function mutual_info_regression at 0x000001E067DC34C0>
100,-0.169375,absolute_error,random,3,<function f_regression at 0x000001E067DE9620>
167,-0.16985333333333333,poisson,random,12,<function mutual_info_regression at 0x000001E067DC34C0>
166,-0.16985333333333333,poisson,random,12,<function f_regression at 0x000001E067DE9620>
152,-0.17039666666666667,poisson,random,5,<function f_regression at 0x000001E067DE9620>
81,-0.1754933333333333,friedman_mse,best,5,<function mutual_info_regression at 0x000001E067DC34C0>
33,-0.1755883333333333,squared_error,best,5,<function mutual_info_regression at 0x000001E067DC34C0>
148,-0.175705,poisson,random,3,<function f_regression at 0x000001E067DE9620>
59,-0.17881666666666665,friedman_mse,random,6,<function mutual_info_regression at 0x000001E067DC34C0>
69,-0.17889499999999997,friedman_mse,random,11,<function mutual_info_regression at 0x000001E067DC34C0>
182,-0.17890166666666665,poisson,best,8,<function f_regression at 0x000001E067DE9620>
28,-0.18163,squared_error,best,3,<function f_regression at 0x000001E067DE9620>
76,-0.18359166666666668,friedman_mse,best,3,<function f_regression at 0x000001E067DE9620>
5,-0.18539,squared_error,random,3,<function mutual_info_regression at 0x000001E067DC34C0>
160,-0.18547666666666668,poisson,random,9,<function f_regression at 0x000001E067DE9620>
53,-0.18602499999999997,friedman_mse,random,3,<function mutual_info_regression at 0x000001E067DC34C0>
22,-0.19104833333333332,squared_error,random,12,<function f_regression at 0x000001E067DE9620>
23,-0.19104833333333332,squared_error,random,12,<function mutual_info_regression at 0x000001E067DC34C0>
114,-0.19158666666666668,absolute_error,random,10,<function f_regression at 0x000001E067DE9620>
162,-0.195025,poisson,random,10,<function f_regression at 0x000001E067DE9620>
122,-0.19636666666666666,absolute_error,best,2,<function f_regression at 0x000001E067DE9620>
70,-0.19691666666666666,friedman_mse,random,12,<function f_regression at 0x000001E067DE9620>
71,-0.19691666666666666,friedman_mse,random,12,<function mutual_info_regression at 0x000001E067DC34C0>
111,-0.19995,absolute_error,random,8,<function mutual_info_regression at 0x000001E067DC34C0>
16,-0.20127833333333336,squared_error,random,9,<function f_regression at 0x000001E067DE9620>
66,-0.20248833333333333,friedman_mse,random,10,<function f_regression at 0x000001E067DE9620>
103,-0.20758666666666667,absolute_error,random,4,<function mutual_info_regression at 0x000001E067DC34C0>
163,-0.20767666666666665,poisson,random,10,<function mutual_info_regression at 0x000001E067DC34C0>
18,-0.2089916666666667,squared_error,random,10,<function f_regression at 0x000001E067DE9620>
64,-0.21044833333333335,friedman_mse,random,9,<function f_regression at 0x000001E067DE9620>
98,-0.21102833333333332,absolute_error,random,2,<function f_regression at 0x000001E067DE9620>
2,-0.21355,squared_error,random,2,<function f_regression at 0x000001E067DE9620>
50,-0.21355,friedman_mse,random,2,<function f_regression at 0x000001E067DE9620>
170,-0.21359,poisson,best,2,<function f_regression at 0x000001E067DE9620>
101,-0.2173216666666667,absolute_error,random,3,<function mutual_info_regression at 0x000001E067DC34C0>
146,-0.21772,poisson,random,2,<function f_regression at 0x000001E067DE9620>
74,-0.22049666666666665,friedman_mse,best,2,<function f_regression at 0x000001E067DE9620>
26,-0.22049666666666665,squared_error,best,2,<function f_regression at 0x000001E067DE9620>
24,-0.22171499999999997,squared_error,best,1,<function f_regression at 0x000001E067DE9620>
72,-0.22171499999999997,friedman_mse,best,1,<function f_regression at 0x000001E067DE9620>
168,-0.22171499999999997,poisson,best,1,<function f_regression at 0x000001E067DE9620>
120,-0.22171499999999997,absolute_error,best,1,<function f_regression at 0x000001E067DE9620>
151,-0.22809333333333331,poisson,random,4,<function mutual_info_regression at 0x000001E067DC34C0>
97,-0.22840499999999997,absolute_error,random,1,<function mutual_info_regression at 0x000001E067DC34C0>
123,-0.23074750000000002,absolute_error,best,2,<function mutual_info_regression at 0x000001E067DC34C0>
1,-0.23159669444444447,squared_error,random,1,<function mutual_info_regression at 0x000001E067DC34C0>
145,-0.23159669444444447,poisson,random,1,<function mutual_info_regression at 0x000001E067DC34C0>
49,-0.23159669444444447,friedman_mse,random,1,<function mutual_info_regression at 0x000001E067DC34C0>
119,-0.2333883333333333,absolute_error,random,12,<function mutual_info_regression at 0x000001E067DC34C0>
118,-0.2333883333333333,absolute_error,random,12,<function f_regression at 0x000001E067DE9620>
77,-0.23597,friedman_mse,best,3,<function mutual_info_regression at 0x000001E067DC34C0>
79,-0.2446016666666667,friedman_mse,best,4,<function mutual_info_regression at 0x000001E067DC34C0>
55,-0.24476500000000004,friedman_mse,random,4,<function mutual_info_regression at 0x000001E067DC34C0>
7,-0.24549999999999997,squared_error,random,4,<function mutual_info_regression at 0x000001E067DC34C0>
31,-0.24939499999999998,squared_error,best,4,<function mutual_info_regression at 0x000001E067DC34C0>
0,-0.25451999999999997,squared_error,random,1,<function f_regression at 0x000001E067DE9620>
96,-0.25451999999999997,absolute_error,random,1,<function f_regression at 0x000001E067DE9620>
48,-0.25451999999999997,friedman_mse,random,1,<function f_regression at 0x000001E067DE9620>
144,-0.25451999999999997,poisson,random,1,<function f_regression at 0x000001E067DE9620>
29,-0.25911666666666666,squared_error,best,3,<function mutual_info_regression at 0x000001E067DC34C0>
175,-0.26352499999999995,poisson,best,4,<function mutual_info_regression at 0x000001E067DC34C0>
99,-0.27263833333333337,absolute_error,random,2,<function mutual_info_regression at 0x000001E067DC34C0>
173,-0.27616666666666667,poisson,best,3,<function mutual_info_regression at 0x000001E067DC34C0>
127,-0.30488666666666664,absolute_error,best,4,<function mutual_info_regression at 0x000001E067DC34C0>
121,-0.32161999999999996,absolute_error,best,1,<function mutual_info_regression at 0x000001E067DC34C0>
73,-0.3252428055555555,friedman_mse,best,1,<function mutual_info_regression at 0x000001E067DC34C0>
169,-0.3252428055555555,poisson,best,1,<function mutual_info_regression at 0x000001E067DC34C0>
25,-0.3252428055555555,squared_error,best,1,<function mutual_info_regression at 0x000001E067DC34C0>
171,-0.3324391666666666,poisson,best,2,<function mutual_info_regression at 0x000001E067DC34C0>
27,-0.3660658333333333,squared_error,best,2,<function mutual_info_regression at 0x000001E067DC34C0>
75,-0.37043583333333335,friedman_mse,best,2,<function mutual_info_regression at 0x000001E067DC34C0>
147,-0.3829908333333333,poisson,random,2,<function mutual_info_regression at 0x000001E067DC34C0>
3,-0.4282716666666667,squared_error,random,2,<function mutual_info_regression at 0x000001E067DC34C0>
51,-0.5317466666666666,friedman_mse,random,2,<function mutual_info_regression at 0x000001E067DC34C0>
