,mean_test_score,param_fs__k,param_knr__n_neighbors,param_knr__p,param_knr__weights,param_fs__score_func
62,-2.1471133333333334,4,5,2,uniform,<function f_regression at 0x000002C1AEAC9DA0>
46,-2.1489306666666668,3,5,2,uniform,<function f_regression at 0x000002C1AEAC9DA0>
135,-2.1510891772449727,9,5,2,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
52,-2.162585,4,5,1,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
112,-2.1652127777777777,8,3,1,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
11,-2.211119217586722,1,3,2,distance,<function f_regression at 0x000002C1AEAC9DA0>
9,-2.211119217586722,1,3,1,distance,<function f_regression at 0x000002C1AEAC9DA0>
110,-2.216198,7,5,2,uniform,<function f_regression at 0x000002C1AEAC9DA0>
44,-2.2581773333333333,3,5,1,uniform,<function f_regression at 0x000002C1AEAC9DA0>
94,-2.2661483333333328,6,5,2,uniform,<function f_regression at 0x000002C1AEAC9DA0>
78,-2.2719096666666667,5,5,2,uniform,<function f_regression at 0x000002C1AEAC9DA0>
161,-2.276189415308175,11,3,1,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
114,-2.2766349999999997,8,3,2,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
92,-2.290769666666667,6,5,1,uniform,<function f_regression at 0x000002C1AEAC9DA0>
122,-2.298128333333333,8,3,2,uniform,<function f_regression at 0x000002C1AEAC9DA0>
30,-2.314675666666667,2,5,2,uniform,<function f_regression at 0x000002C1AEAC9DA0>
20,-2.321396,2,5,1,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
157,-2.3216173743153417,10,5,1,distance,<function f_regression at 0x000002C1AEAC9DA0>
76,-2.3244323333333337,5,5,1,uniform,<function f_regression at 0x000002C1AEAC9DA0>
84,-2.3275766666666664,6,5,1,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
22,-2.3304229999999997,2,5,2,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
177,-2.34603131769516,12,3,1,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
185,-2.34603131769516,12,3,1,distance,<function f_regression at 0x000002C1AEAC9DA0>
169,-2.3538354929931,11,3,1,distance,<function f_regression at 0x000002C1AEAC9DA0>
13,-2.359136176878443,1,5,1,distance,<function f_regression at 0x000002C1AEAC9DA0>
15,-2.359136176878443,1,5,2,distance,<function f_regression at 0x000002C1AEAC9DA0>
144,-2.3722427777777773,10,3,1,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
128,-2.374495555555556,9,3,1,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
149,-2.3835983392291813,10,5,1,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
28,-2.3836660000000003,2,5,1,uniform,<function f_regression at 0x000002C1AEAC9DA0>
108,-2.3995826666666664,7,5,1,uniform,<function f_regression at 0x000002C1AEAC9DA0>
136,-2.39984,9,3,1,uniform,<function f_regression at 0x000002C1AEAC9DA0>
130,-2.4012149999999997,9,3,2,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
138,-2.421539444444444,9,3,2,uniform,<function f_regression at 0x000002C1AEAC9DA0>
100,-2.454034666666666,7,5,1,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
152,-2.4719816666666667,10,3,1,uniform,<function f_regression at 0x000002C1AEAC9DA0>
102,-2.4975213333333333,7,5,2,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
155,-2.5003232734117984,10,3,2,distance,<function f_regression at 0x000002C1AEAC9DA0>
86,-2.5810983333333333,6,5,2,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
147,-2.58400503527614,10,3,2,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
171,-2.587441248571862,11,3,2,distance,<function f_regression at 0x000002C1AEAC9DA0>
176,-2.5995144444444445,12,3,1,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
184,-2.5995144444444445,12,3,1,uniform,<function f_regression at 0x000002C1AEAC9DA0>
124,-2.6005649999999996,8,5,1,uniform,<function f_regression at 0x000002C1AEAC9DA0>
160,-2.616332222222222,11,3,1,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
163,-2.62148014628795,11,3,2,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
187,-2.6939638212298984,12,3,2,distance,<function f_regression at 0x000002C1AEAC9DA0>
179,-2.6939638212298984,12,3,2,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
173,-2.724584116181446,11,5,1,distance,<function f_regression at 0x000002C1AEAC9DA0>
159,-2.7372228994961203,10,5,2,distance,<function f_regression at 0x000002C1AEAC9DA0>
8,-2.7392588888888887,1,3,1,uniform,<function f_regression at 0x000002C1AEAC9DA0>
10,-2.7392588888888887,1,3,2,uniform,<function f_regression at 0x000002C1AEAC9DA0>
165,-2.7652375345711917,11,5,1,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
168,-2.767876666666667,11,3,1,uniform,<function f_regression at 0x000002C1AEAC9DA0>
156,-2.7722453333333332,10,5,1,uniform,<function f_regression at 0x000002C1AEAC9DA0>
140,-2.777080333333333,9,5,1,uniform,<function f_regression at 0x000002C1AEAC9DA0>
132,-2.7932883333333334,9,5,1,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
151,-2.808991353776852,10,5,2,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
148,-2.8102639999999997,10,5,1,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
126,-2.8202993333333333,8,5,2,uniform,<function f_regression at 0x000002C1AEAC9DA0>
118,-2.8225456666666666,8,5,2,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
14,-2.867353,1,5,2,uniform,<function f_regression at 0x000002C1AEAC9DA0>
12,-2.867353,1,5,1,uniform,<function f_regression at 0x000002C1AEAC9DA0>
116,-2.8724246666666664,8,5,1,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
181,-2.898462617636781,12,5,1,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
189,-2.898462617636781,12,5,1,distance,<function f_regression at 0x000002C1AEAC9DA0>
167,-2.906382993522658,11,5,2,distance,<function mutual_info_regression at 0x000002C1AEA9FC40>
4,-2.9301323333333333,1,5,1,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
6,-2.9301323333333333,1,5,2,uniform,<function mutual_info_regression at 0x000002C1AEA9FC40>
175,-2.9349898980544173,11,5,2,distance,<function f_regression at 0x000002C1AEAC9DA0>
