,mean_test_score,param_fs__k,param_knr__n_neighbors,param_knr__p,param_knr__weights,param_fs__score_func
264,-0.27349999999999997,12,3,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
233,-0.2753949308565161,10,5,1,distance,<function f_regression at 0x000001E067DE9620>
74,-0.2795672222222222,4,3,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
23,-0.2812656523021126,1,7,2,distance,<function f_regression at 0x000001E067DE9620>
21,-0.2812656523021126,1,7,1,distance,<function f_regression at 0x000001E067DE9620>
209,-0.2837458841493978,9,5,1,distance,<function f_regression at 0x000001E067DE9620>
240,-0.28446777777777776,11,3,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
218,-0.28746555555555553,10,3,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
86,-0.28828055555555554,4,3,2,uniform,<function f_regression at 0x000001E067DE9620>
172,-0.2907276666666666,8,5,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
72,-0.29102388888888886,4,3,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
12,-0.2939033333333333,1,3,1,uniform,<function f_regression at 0x000001E067DE9620>
14,-0.2939033333333333,1,3,2,uniform,<function f_regression at 0x000001E067DE9620>
257,-0.29439409360326535,11,5,1,distance,<function f_regression at 0x000001E067DE9620>
148,-0.29508999999999996,7,5,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
165,-0.29639382749718235,7,7,1,distance,<function f_regression at 0x000001E067DE9620>
50,-0.2983716666666667,3,3,2,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
225,-0.2992172425747085,10,7,1,distance,<function mutual_info_regression at 0x000001E067DC34C0>
182,-0.3015261111111111,8,3,2,uniform,<function f_regression at 0x000001E067DE9620>
60,-0.30222722222222226,3,3,1,uniform,<function f_regression at 0x000001E067DE9620>
255,-0.3026844761087569,11,3,2,distance,<function f_regression at 0x000001E067DE9620>
62,-0.30611611111111114,3,3,2,uniform,<function f_regression at 0x000001E067DE9620>
48,-0.3079816666666667,3,3,1,uniform,<function mutual_info_regression at 0x000001E067DC34C0>
189,-0.30801008068854585,8,7,1,distance,<function f_regression at 0x000001E067DE9620>
136,-0.3104686666666666,6,5,1,uniform,<function f_regression at 0x000001E067DE9620>
243,-0.3114208644997499,11,3,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
281,-0.31204643182107855,12,5,1,distance,<function f_regression at 0x000001E067DE9620>
269,-0.31204643182107855,12,5,1,distance,<function mutual_info_regression at 0x000001E067DC34C0>
158,-0.31642333333333333,7,3,2,uniform,<function f_regression at 0x000001E067DE9620>
223,-0.3190647653794235,10,5,2,distance,<function mutual_info_regression at 0x000001E067DC34C0>
