,mean_test_score,param_dtr__criterion,param_dtr__splitter,param_fs__k,param_fs__score_func
77,-1.7394916666666667,friedman_mse,best,3,<function mutual_info_regression at 0x000002C1AEA9FC40>
15,-1.7452783333333333,squared_error,random,8,<function mutual_info_regression at 0x000002C1AEA9FC40>
63,-1.7515616666666667,friedman_mse,random,8,<function mutual_info_regression at 0x000002C1AEA9FC40>
28,-1.7613066666666668,squared_error,best,3,<function f_regression at 0x000002C1AEAC9DA0>
189,-1.764831666666667,poisson,best,11,<function mutual_info_regression at 0x000002C1AEA9FC40>
29,-1.7669366666666668,squared_error,best,3,<function mutual_info_regression at 0x000002C1AEA9FC40>
45,-1.7688883333333336,squared_error,best,11,<function mutual_info_regression at 0x000002C1AEA9FC40>
172,-1.7734216666666665,poisson,best,3,<function f_regression at 0x000002C1AEAC9DA0>
44,-1.7797133333333335,squared_error,best,11,<function f_regression at 0x000002C1AEAC9DA0>
30,-1.7845016666666667,squared_error,best,4,<function f_regression at 0x000002C1AEAC9DA0>
76,-1.7904733333333336,friedman_mse,best,3,<function f_regression at 0x000002C1AEAC9DA0>
184,-1.8045033333333333,poisson,best,9,<function f_regression at 0x000002C1AEAC9DA0>
173,-1.8080716666666672,poisson,best,3,<function mutual_info_regression at 0x000002C1AEA9FC40>
186,-1.810046666666667,poisson,best,10,<function f_regression at 0x000002C1AEAC9DA0>
185,-1.81663,poisson,best,9,<function mutual_info_regression at 0x000002C1AEA9FC40>
78,-1.8193666666666668,friedman_mse,best,4,<function f_regression at 0x000002C1AEAC9DA0>
141,-1.8238733333333332,absolute_error,best,11,<function mutual_info_regression at 0x000002C1AEA9FC40>
140,-1.8278400000000006,absolute_error,best,11,<function f_regression at 0x000002C1AEAC9DA0>
161,-1.837135,poisson,random,9,<function mutual_info_regression at 0x000002C1AEA9FC40>
124,-1.8420350000000003,absolute_error,best,3,<function f_regression at 0x000002C1AEAC9DA0>
187,-1.8503950000000002,poisson,best,10,<function mutual_info_regression at 0x000002C1AEA9FC40>
188,-1.8507850000000001,poisson,best,11,<function f_regression at 0x000002C1AEAC9DA0>
66,-1.8558300000000003,friedman_mse,random,10,<function f_regression at 0x000002C1AEAC9DA0>
