Mean ,Standard Deviation ,SE of mean,Variance,Skewness,Kurtosis,Coefficient of Variation,Mean absolute Deviation,Mode ,Harmonic Mean ,Median,Flowrate
3.192080888,0.169700788,0.000848493,0.028798357,2.020055397,0.033627234,0.05488239,0.133158018,3.091983,2.78269924,3.091983,Non Leakage
2.587719066,0.176610796,0.000883043,0.031191373,1.046555625,0.10937902,0.057197819,0.139322202,3.091983,3.377519077,3.091983,Leakages
2.983823572,0.178923632,0.000894607,0.032013666,2.033698662,0.118374446,0.058020061,0.14164477,3.091983,2.773388473,3.091983,Non Leakage
2.679875548,0.193070711,0.000965341,0.037276299,1.131911812,0.070959275,0.062687829,0.153607054,3.091983,3.26769782,3.091983,Leakages
3.574515615,0.194287971,0.000971428,0.037747816,2.318761351,0.175948685,0.063193034,0.154511553,3.091983,2.762144646,3.091983,Non Leakage
2.675057011,0.196951771,0.000984747,0.03879,1.012825279,0.103171316,0.064048169,0.156760933,3.091983,3.362321329,3.091983,Leakages
3.169828448,0.204138354,0.001020679,0.041672468,2.218101535,0.029192279,0.066498294,0.163556751,3.091983,2.556112314,3.091983,Non Leakage
2.767871332,0.222103093,0.001110502,0.049329784,1.06165005,-0.017278933,0.072396483,0.178249513,3.091983,3.051546337,3.091983,Leakages
3.46924723,0.219090355,0.001095438,0.048000584,2.155408909,0.049144907,0.07138244,0.175365768,3.091983,2.653375824,3.091983,Non Leakage
2.46495648,0.230249757,0.001151234,0.053014951,0.742012191,0.063490758,0.075123336,0.183973143,3.091983,3.147396185,3.091983,Leakages
3.164677419,0.242593704,0.001212953,0.058851705,2.020337338,0.001134107,0.07915799,0.194474832,3.091983,2.645193595,3.091983,Non Leakage
2.657797328,0.240904513,0.001204508,0.058034984,1.203876861,-0.00278576,0.078783676,0.193745327,3.091983,3.038514344,3.091983,Leakages
3.354166117,0.277488699,0.001387426,0.076999978,2.060845155,0.169226874,0.090855798,0.220834191,3.091983,2.728326424,3.047884,Non Leakage
2.555409913,0.271822747,0.001359097,0.073887606,1.126351364,0.07247702,0.088964412,0.21711051,3.091983,3.130755759,3.091983,Leakages
3.451022203,0.267423661,0.001337102,0.071515414,1.000692339,-0.024337657,0.087650513,0.214842922,3.091983,2.827213389,3.047884,Non Leakage
3.364411591,0.105666464,0.000528326,0.011165402,2.538279036,1.586541874,0.032369222,0.082050948,3.312784,3.66103902,3.268685,Non Leakage
2.349468312,0.121267262,0.000606329,0.014705749,0.545289738,1.575453367,0.037319109,0.095618864,3.312784,3.245014186,3.268685,Leakages
3.244143484,0.114082653,0.000570406,0.013014852,2.484327776,1.472088285,0.035165724,0.08986862,3.180334,2.540183993,3.268685,Non Leakage
2.638908207,0.119242411,0.000596205,0.014218753,0.508126047,1.193628485,0.036815619,0.094634359,3.180334,3.23458275,3.224586,Leakages
3.235537839,0.128199673,0.00064099,0.016435156,2.401552363,0.886864148,0.039622369,0.102016506,3.180334,2.630517547,3.224586,Non Leakage
2.731871325,0.167870955,0.000839344,0.028180658,0.16553289,0.541290775,0.051942339,0.132892962,3.180334,3.223168434,3.224586,Leakages
3.522600335,0.177610184,0.00088804,0.031545377,2.125713232,0.294625775,0.055055796,0.141605084,3.180334,2.61622572,3.224586,Non Leakage
2.523174116,0.198619091,0.000993083,0.039449543,0.105874371,0.178820379,0.061622203,0.158398872,3.180334,3.310915023,3.224586,Leakages
3.020142055,0.20801416,0.001040058,0.043269891,2.014109352,0.029973383,0.064597821,0.167150478,3.180334,2.506602505,3.224586,Non Leakage
2.210901358,0.219597141,0.001097972,0.048222904,0.508294297,0.037006367,0.06839112,0.176167783,3.091983,3.195728428,3.180334,Leakages
3.40659806,0.241117279,0.001205571,0.058137542,2.415084251,0.027532966,0.075194107,0.193360174,3.091983,2.68827678,3.180334,Non Leakage
2.400896975,0.268812882,0.001344048,0.072260366,1.504425183,0.074128549,0.083980486,0.214791171,3.091983,3.177990014,3.180334,Leakages
3.196050832,0.273600656,0.001367986,0.074857319,2.114904374,-0.024562438,0.085605853,0.219265338,3.091983,2.572247367,3.180334,Non Leakage
2.594111471,0.284487441,0.001422419,0.080933104,1.100502799,0.045855617,0.089066222,0.227176786,3.091983,3.168355554,3.180334,Leakages
3.18884038,0.294690267,0.001473433,0.086842353,1.903297379,0.003573155,0.092412988,0.23508262,3.091983,2.661134018,3.180334,Non Leakage
2.687507779,0.302614059,0.001513051,0.091575269,1.200539338,0.015987274,0.094937512,0.241602046,3.091983,3.258236024,3.180334,Leakages
3.383787373,0.324022661,0.001620093,0.104990685,1.990967869,0.04979616,0.101772707,0.258212954,3.091983,2.750036927,3.180334,Non Leakage
2.482349195,0.33007629,0.001650361,0.108950357,0.738533269,0.051760652,0.103720953,0.262475961,3.091983,3.34716716,3.180334,Leakages
3.371795347,0.353073294,0.001765344,0.124660751,2.215626009,0.015677888,0.111316543,0.281456066,3.091983,2.531365882,3.180334,Non Leakage
2.74037067,0.360037166,0.001800163,0.129626761,1.219203914,0.049090842,0.113431935,0.287172292,3.091983,3.131943364,3.180334,Leakages
3.169490047,0.379195888,0.001895956,0.143789521,2.026040191,-3.47E-05,0.1196394,0.30299423,3.091983,2.622574279,3.180334,Non Leakage
